epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,508.423,1.82031,1.38226,1.37646,0.93937,0.95951,0.96231,0.62637,1.26091,67.7457,1.04549,0.00999387,0.00333129,0.00999387,0.00333129,0.00999387,0.00333129,0.00999387,0.00333129
2,1008.41,1.3491,0.78404,1.08301,0.94879,0.9683,0.97685,0.71318,0.98368,54.5593,0.93208,0.0197959,0.00659864,0.0197959,0.00659864,0.0197959,0.00659864,0.0197959,0.00659864
3,1492.83,1.25293,0.71201,1.04088,0.96043,0.97513,0.98353,0.72825,0.95687,68.5101,0.92099,0.0294,0.0098,0.0294,0.0098,0.0294,0.0098,0.0294,0.0098
4,1977.61,1.16105,0.6608,1.00786,0.96282,0.97504,0.98952,0.77285,0.82206,69.5672,0.87509,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2458.48,1.07199,0.61313,0.97732,0.96409,0.97629,0.98978,0.80652,0.73239,66.8745,0.85588,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2942.83,1.02348,0.58384,0.96105,0.9667,0.98351,0.99242,0.8273,0.66966,56.3131,0.83767,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3426.3,0.97628,0.55797,0.94632,0.97281,0.9849,0.99281,0.85271,0.59654,50.4098,0.82266,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3910.24,0.95232,0.54357,0.93879,0.98618,0.98433,0.99348,0.85738,0.58125,21.633,0.81732,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4392.24,0.92322,0.52435,0.93033,0.99072,0.99147,0.99404,0.86084,0.5811,11.3209,0.81515,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4874.23,0.90459,0.51531,0.92487,0.99281,0.9934,0.99418,0.86557,0.56431,6.77767,0.81247,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5355.61,0.88546,0.50235,0.9194,0.99251,0.99242,0.99418,0.88046,0.49989,3.62652,0.79845,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5833.08,0.86728,0.49091,0.91522,0.99635,0.99599,0.99427,0.88786,0.4816,4.88743,0.79571,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6310.7,0.85441,0.48377,0.91072,0.99389,0.99375,0.99432,0.88902,0.47422,2.91,0.79304,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6789.42,0.8449,0.47761,0.90892,0.99612,0.99646,0.99441,0.8912,0.47811,1.68219,0.79365,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7271.44,0.83365,0.47153,0.90547,0.99648,0.99631,0.99441,0.89267,0.46638,3.23914,0.79061,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7751,0.82452,0.46566,0.90299,0.99682,0.99681,0.9944,0.89879,0.44764,2.48344,0.78844,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,9284.89,0.81457,0.45914,0.90071,0.99712,0.99766,0.99441,0.89882,0.44649,2.88485,0.78822,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,9778.92,0.80957,0.45859,0.899,0.99768,0.99779,0.99441,0.90291,0.43783,2.47125,0.78604,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,10284.8,0.80034,0.45161,0.89613,0.99769,0.99786,0.99443,0.90656,0.43084,2.09554,0.78478,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
