epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
2,382.016,1.67157,1.05243,1.21988,0.93271,0.93464,0.95998,0.61782,1.25379,75.0314,1.02837,0.0197929,0.00659763,0.0197929,0.00659763,0.0197929,0.00659763,0.0197929,0.00659763
3,782.896,1.56214,0.94325,1.15684,0.93296,0.94117,0.95963,0.61815,1.23387,83.4456,1.0107,0.029397,0.00979899,0.029397,0.00979899,0.029397,0.00979899,0.029397,0.00979899
4,1183.58,1.46525,0.8809,1.1169,0.93398,0.94526,0.96237,0.66349,1.09012,91.2927,0.96349,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1578.23,1.37636,0.81967,1.0811,0.95144,0.95937,0.97635,0.69809,1.0073,89.0655,0.93012,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1953.87,1.32261,0.78349,1.06012,0.95365,0.96334,0.97818,0.7237,0.94215,89.6092,0.91094,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,397.872,1.28214,0.7602,1.04385,0.95497,0.96449,0.98431,0.74558,0.89258,84.1902,0.89723,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1924.59,1.25215,0.73311,1.03025,0.95221,0.96814,0.98438,0.74363,0.8988,86.6523,0.89532,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2283.54,1.22217,0.71665,1.02039,0.95675,0.96987,0.98687,0.75608,0.8594,89.2927,0.87781,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2640.97,1.19784,0.70177,1.01186,0.96244,0.9756,0.98649,0.74312,0.87765,89.8203,0.87645,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3004.5,1.18092,0.68842,1.00619,0.96292,0.97582,0.98808,0.77322,0.83038,90.3416,0.87039,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3361.92,1.17012,0.68236,1.00078,0.96621,0.97906,0.99002,0.78546,0.77126,93.0215,0.85125,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,3724.12,1.15698,0.67255,0.99616,0.96411,0.97873,0.9902,0.78743,0.76525,90.9168,0.85001,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4083.19,1.13911,0.66121,0.98989,0.9728,0.98525,0.99193,0.79882,0.74501,77.1264,0.8451,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4445.47,1.1284,0.65213,0.98675,0.97368,0.98627,0.99193,0.79692,0.75611,88.1395,0.84676,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4814.36,1.11513,0.6453,0.98234,0.97438,0.98756,0.99158,0.80685,0.72206,100.498,0.8385,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5359.5,1.10716,0.63965,0.97908,0.97917,0.98948,0.99274,0.80697,0.73741,88.8396,0.83974,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5728.91,1.09672,0.63354,0.97723,0.97797,0.99008,0.99222,0.81885,0.69952,93.0162,0.8314,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6099.09,1.08873,0.62562,0.97341,0.97723,0.98935,0.99227,0.81995,0.6904,88.8046,0.82882,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6471.73,1.08098,0.62151,0.97081,0.98173,0.99296,0.99327,0.82623,0.67387,91.6867,0.82621,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6840.58,1.07278,0.61661,0.96836,0.98165,0.99275,0.99318,0.833,0.65428,90.8903,0.8226,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7213.32,1.06544,0.61175,0.9659,0.97942,0.99102,0.993,0.83476,0.65138,93.8661,0.82052,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7582.97,1.059,0.61088,0.96443,0.97998,0.99192,0.99288,0.83887,0.63261,92.502,0.81695,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7963.86,1.05361,0.60523,0.96235,0.98097,0.99267,0.9933,0.84307,0.62247,85.8825,0.81477,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,8334.87,1.04529,0.5996,0.95981,0.98247,0.99364,0.99327,0.84504,0.61811,87.6366,0.81362,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8706.64,1.03726,0.5969,0.95731,0.98313,0.99452,0.99346,0.84842,0.60631,89.4837,0.81044,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,9193.78,1.02817,0.59067,0.95461,0.98304,0.99436,0.99347,0.85049,0.59938,84.9815,0.80893,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,9562.42,1.02662,0.59148,0.95492,0.98333,0.99454,0.99362,0.85365,0.59163,83.2184,0.80763,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9936.16,1.0244,0.5892,0.95283,0.9829,0.99433,0.99357,0.85267,0.59366,82.5273,0.80752,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,10305,1.01445,0.58351,0.95146,0.98332,0.99444,0.99373,0.8558,0.58759,77.4498,0.80586,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,11148.4,1.0149,0.58407,0.95008,0.9839,0.9947,0.99375,0.85767,0.58215,77.0198,0.8053,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,11523.3,1.00536,0.57717,0.94741,0.98383,0.99452,0.99361,0.85901,0.57564,80.7663,0.80395,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
